客戶:,合成印刷
日期:,"110. 08. 16"

No.,型號,品名,數量,單價,金額
1,SN-NOV28STP,康寧平底鍋,16,1000,16000,
2,,獎牌,15,600,9000,

,,,,5%,0
,,,,總計,25000

備註:,
